time,power,apparPower,reacPower,PF,rmsVolt,rmsCur,label
6/18/2016 21:26,0.7,1.1,0.3,0.8488,233.99,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8271,234.26,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8202,233.81,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.836,234.25,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8348,234.51,0.0048,0
6/18/2016 21:27,0.7,0.7,0.3,0.8353,234.44,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8326,234.82,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8156,234.44,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8148,234.52,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8082,234.28,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8194,234.3,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8322,234.15,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8296,234.29,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8245,234.39,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8412,234.34,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8156,234.46,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8245,234.4,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8212,234.53,0.0048,0
6/18/2016 21:27,0.7,0.7,0.3,0.8563,234.44,0.0048,0
6/18/2016 21:27,0.7,0.7,0.3,0.851,234.52,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8186,234.65,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8161,234.5,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8037,234.52,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8199,234.74,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8288,235.04,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8212,235.06,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8313,234.9,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.825,234.81,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8186,234.63,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8025,234.76,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8326,234.78,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8309,234.39,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.822,234.27,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8206,234.46,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8212,234.59,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8169,234.51,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8309,234.52,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8156,234.45,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8199,234.53,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8173,234.78,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8037,234.82,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8263,235.08,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8148,235.06,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8099,235.04,0.0048,0
6/18/2016 21:27,0.7,1.1,0.3,0.8084,234.89,0.0048,0
